items,support
WorkPressure_Low,0.9999
nan,0.9999
"WorkPressure_Low, nan",0.9999
"Suicidal_Yes, nan",0.6328
"Suicidal_Yes, WorkPressure_Low",0.6328
Suicidal_Yes,0.6328
Depression_Yes,0.5855
"Depression_Yes, nan",0.5855
"Depression_Yes, WorkPressure_Low",0.5855
Gender_Male,0.5572
"Gender_Male, WorkPressure_Low, nan",0.5571
"Gender_Male, nan",0.5571
"Gender_Male, WorkPressure_Low",0.5571
"StudyHrs_High, WorkPressure_Low",0.5316
"StudyHrs_High, nan",0.5316
StudyHrs_High,0.5316
"FamilyHistory_No, nan",0.516
FamilyHistory_No,0.516
"FamilyHistory_No, WorkPressure_Low",0.516
"Depression_Yes, Suicidal_Yes",0.5002
"FamilyHistory_Yes, nan",0.484
FamilyHistory_Yes,0.484
"FamilyHistory_Yes, WorkPressure_Low",0.484
FinStress_High,0.4477
"FinStress_High, nan",0.4476
"FinStress_High, WorkPressure_Low",0.4476
Gender_Female,0.4428
"Gender_Female, WorkPressure_Low",0.4428
"Gender_Female, nan",0.4428
"Depression_No, nan",0.4145
"Depression_No, WorkPressure_Low",0.4145
Depression_No,0.4145
"AcadPressure_High, WorkPressure_Low",0.4104
"AcadPressure_High, WorkPressure_Low, nan",0.4104
"AcadPressure_High, nan",0.4104
AcadPressure_High,0.4104
"StudySat_Low, nan",0.4046
StudySat_Low,0.4046
"StudySat_Low, WorkPressure_Low",0.4046
"StudySat_High, WorkPressure_Low",0.3864
"StudySat_High, nan",0.3864
StudySat_High,0.3864
"CGPA_Mid, nan",0.3738
CGPA_Mid,0.3738
"CGPA_Mid, WorkPressure_Low",0.3738
"Suicidal_No, nan",0.3672
"Suicidal_No, WorkPressure_Low",0.3672
Suicidal_No,0.3672
"FinStress_Low, nan",0.3649
"FinStress_Low, WorkPressure_Low",0.3649
FinStress_Low,0.3649
"StudyHrs_High, Suicidal_Yes",0.3606
"Depression_Yes, StudyHrs_High",0.3545
"Gender_Male, Suicidal_Yes",0.3523
CGPA_High,0.3461
"CGPA_High, WorkPressure_Low",0.3461
"CGPA_High, WorkPressure_Low, nan",0.346
"CGPA_High, nan",0.346
"Depression_Yes, FinStress_High",0.3386
"AcadPressure_High, Depression_Yes, WorkPressure_Low",0.3349
"AcadPressure_High, Depression_Yes",0.3349
"AcadPressure_High, Depression_Yes, nan",0.3349
"Depression_Yes, Gender_Male",0.3267
"FinStress_High, Suicidal_Yes",0.3262
"AcadPressure_Low, WorkPressure_Low",0.3221
AcadPressure_Low,0.3221
"AcadPressure_Low, nan",0.3221
"FamilyHistory_No, Suicidal_Yes",0.3202
"FamilyHistory_Yes, Suicidal_Yes",0.3126
"AcadPressure_High, Suicidal_Yes",0.3095
"AcadPressure_High, Suicidal_Yes, WorkPressure_Low",0.3095
"AcadPressure_High, Suicidal_Yes, nan",0.3094
"Gender_Male, StudyHrs_High",0.2993
Sleep_<5h,0.2978
"Sleep_<5h, WorkPressure_Low",0.2978
"Sleep_<5h, nan",0.2978
"Depression_Yes, FamilyHistory_Yes",0.2965
"FamilyHistory_No, Gender_Male",0.2915
"Depression_Yes, FamilyHistory_No",0.289
"AcadPressure_High, Depression_Yes, Suicidal_Yes",0.2844
"Depression_No, Suicidal_No",0.2819
Age_26-30,0.2812
"Age_26-30, WorkPressure_Low",0.2812
"Age_26-30, nan",0.2811
"Gender_Female, Suicidal_Yes",0.2805
CGPA_Low,0.2802
"CGPA_Low, nan",0.2802
"CGPA_Low, WorkPressure_Low",0.2801
"Depression_Yes, StudySat_Low",0.2733
"StudySat_Low, Suicidal_Yes",0.273
"FamilyHistory_No, StudyHrs_High",0.2709
StudyHrs_Low,0.2697
"StudyHrs_Low, nan",0.2696
"StudyHrs_Low, WorkPressure_Low",0.2696
"AcadPressure_Moderate, nan",0.2674
"AcadPressure_Moderate, WorkPressure_Low",0.2674
AcadPressure_Moderate,0.2674
"FamilyHistory_Yes, Gender_Male",0.2658
"Sleep_7-8h, nan",0.2633
Sleep_7-8h,0.2633
"Sleep_7-8h, WorkPressure_Low",0.2633
"FamilyHistory_Yes, StudyHrs_High",0.2607
