antecedents,consequents,support,confidence,lift,conviction
"AcadPressure_Low, Suicidal_No",Depression_No,0.1594,0.9162,2.2103,6.9828
"Age_>30, Suicidal_No",Depression_No,0.0877,0.8799,2.1227,4.8733
"AcadPressure_Low, Sleep_>8h",Depression_No,0.0607,0.7853,1.8944,2.7264
"CGPA_Mid, Suicidal_No",Depression_No,0.1334,0.7806,1.8833,2.6689
"Depression_No, StudySat_Moderate",AcadPressure_Low,0.0535,0.6049,1.8779,1.7159
"AcadPressure_Low, Depression_No",Suicidal_No,0.1594,0.6856,1.8672,2.0129
"CGPA_High, Depression_No",Suicidal_No,0.1484,0.6828,1.8594,1.9948
Suicidal_No,Depression_No,0.2819,0.7678,1.8523,2.5214
Depression_No,Suicidal_No,0.2819,0.6802,1.8523,1.9785
"Age_>30, Depression_No",Suicidal_No,0.0877,0.6785,1.8478,1.9683
"Age_22-25, Depression_No",Suicidal_No,0.0608,0.6777,1.8457,1.9635
"CGPA_Mid, Depression_No",Suicidal_No,0.1334,0.6773,1.8447,1.9612
"AcadPressure_Low, StudySat_High",Depression_No,0.1069,0.7593,1.8318,2.4324
"CGPA_High, Suicidal_No",Depression_No,0.1484,0.7565,1.825,2.4044
"AcadPressure_High, Depression_No",Suicidal_No,0.0504,0.6676,1.8182,1.9039
"AcadPressure_Low, Age_26-30",Depression_No,0.0646,0.7373,1.7788,2.2289
"Age_22-25, Suicidal_No",Depression_No,0.0608,0.7296,1.7601,2.1651
AcadPressure_Low,Depression_No,0.2325,0.7216,1.741,2.1033
"AcadPressure_Low, StudySat_Moderate",Depression_No,0.0535,0.7137,1.7218,2.0448
"AcadPressure_Low, Sleep_7-8h",Depression_No,0.0582,0.7096,1.712,2.0162
"AcadPressure_Low, FamilyHistory_Yes",Depression_No,0.105,0.7049,1.7006,1.9841
"Age_>30, StudySat_High",Depression_No,0.0611,0.686,1.6549,1.8644
"AcadPressure_Low, Sleep_<5h",Depression_No,0.0603,0.6689,1.6138,1.7684
"AcadPressure_High, Suicidal_Yes",Depression_Yes,0.2844,0.9189,1.5695,5.1126
"AcadPressure_Low, StudyHrs_High",Depression_No,0.0996,0.6425,1.5502,1.638
"AcadPressure_High, FinStress_High",Depression_Yes,0.1871,0.9069,1.5489,4.4512
"AcadPressure_High, Age_<=21",Depression_Yes,0.1042,0.8879,1.5166,3.6989
FinStress_Low,Depression_No,0.2285,0.6261,1.5105,1.5659
"Depression_Yes, StudySat_Low",AcadPressure_High,0.1694,0.6198,1.5102,1.5507
"Depression_Yes, FinStress_Low",AcadPressure_High,0.0842,0.617,1.5034,1.5395
"AcadPressure_High, StudySat_Low",Depression_Yes,0.1694,0.8645,1.4764,3.0581
"AcadPressure_High, StudyHrs_High",Depression_Yes,0.1992,0.8626,1.4733,3.0177
"AcadPressure_High, Sleep_<5h",Depression_Yes,0.1119,0.8575,1.4645,2.9079
"AcadPressure_High, Age_22-25",Depression_Yes,0.0829,0.8569,1.4636,2.8972
"AcadPressure_High, FamilyHistory_Yes",Depression_Yes,0.1707,0.8354,1.4269,2.5188
"AcadPressure_High, FinStress_Moderate",Depression_Yes,0.0637,0.8299,1.4174,2.4369
"AcadPressure_High, StudySat_Moderate",Depression_Yes,0.0661,0.8229,1.4055,2.3408
"AcadPressure_High, Sleep_7-8h",Depression_Yes,0.0859,0.8209,1.402,2.3142
AcadPressure_High,"Depression_Yes, WorkPressure_Low",0.3349,0.8161,1.3939,2.254
AcadPressure_High,Depression_Yes,0.3349,0.8161,1.3938,2.2538
"AcadPressure_High, WorkPressure_Low",Depression_Yes,0.3349,0.8161,1.3938,2.2538
"AcadPressure_High, nan",Depression_Yes,0.3349,0.8161,1.3938,2.2536
AcadPressure_High,"Depression_Yes, nan",0.3349,0.816,1.3938,2.2529
"AcadPressure_High, StudyHrs_Moderate",Depression_Yes,0.0676,0.8137,1.3898,2.2251
AcadPressure_High,"Depression_Yes, Suicidal_Yes",0.2844,0.6929,1.3851,1.6272
"AcadPressure_High, Gender_Female",Depression_Yes,0.1517,0.81,1.3834,2.1815
"AcadPressure_High, CGPA_Mid",Depression_Yes,0.1509,0.8018,1.3693,2.0908
"Age_>30, Depression_Yes",Suicidal_Yes,0.0774,0.8661,1.3686,2.7418
"CGPA_High, Suicidal_Yes",Depression_Yes,0.2772,0.8008,1.3677,2.0807
"AcadPressure_High, Age_26-30",Depression_Yes,0.0949,0.7972,1.3615,2.0436
"AcadPressure_High, FamilyHistory_No",Depression_Yes,0.1643,0.7969,1.3611,2.0409
"AcadPressure_High, Sleep_5-6h",Depression_Yes,0.0716,0.7912,1.3513,1.9852
Depression_Yes,Suicidal_Yes,0.5002,0.8544,1.3501,2.5214
Suicidal_Yes,Depression_Yes,0.5002,0.7905,1.3501,1.9785
"CGPA_High, Depression_Yes",Suicidal_Yes,0.2772,0.853,1.3479,2.4976
"AcadPressure_High, Depression_Yes",Suicidal_Yes,0.2844,0.849,1.3417,2.4319
"AcadPressure_High, Sleep_>8h",Depression_Yes,0.0654,0.7732,1.3206,1.8277
"FinStress_High, Sleep_7-8h",Depression_Yes,0.0918,0.7597,1.2976,1.725
FinStress_High,Depression_Yes,0.3386,0.7564,1.292,1.7019
"FinStress_High, StudySat_Moderate",Depression_Yes,0.0675,0.7563,1.2918,1.701
"AcadPressure_High, StudySat_High",Depression_Yes,0.0993,0.7411,1.2658,1.6011
"AcadPressure_High, FinStress_High",Suicidal_Yes,0.1651,0.8004,1.2648,1.8395
"AcadPressure_High, Age_<=21",Suicidal_Yes,0.092,0.7838,1.2386,1.6985
"AcadPressure_High, Sleep_<5h",Suicidal_Yes,0.1022,0.783,1.2374,1.6923
"AcadPressure_High, StudyHrs_High",Suicidal_Yes,0.1804,0.7812,1.2344,1.6779
"AcadPressure_High, StudySat_Moderate",Suicidal_Yes,0.0625,0.7779,1.2292,1.6531
"AcadPressure_High, FinStress_Moderate",Suicidal_Yes,0.0593,0.7734,1.2221,1.6202
"AcadPressure_High, StudySat_Low",Suicidal_Yes,0.1515,0.773,1.2215,1.6176
"Sleep_<5h, StudyHrs_High",Depression_Yes,0.1142,0.7127,1.2172,1.4427
Age_<=21,Depression_Yes,0.1815,0.7122,1.2165,1.4404
"AcadPressure_High, Age_22-25",Suicidal_Yes,0.0743,0.7687,1.2148,1.5876
"AcadPressure_High, FamilyHistory_Yes",Suicidal_Yes,0.1568,0.7674,1.2126,1.5784
"AcadPressure_High, StudyHrs_Low",Depression_Yes,0.0681,0.7066,1.2068,1.4127
"AcadPressure_High, Sleep_7-8h",Suicidal_Yes,0.0799,0.763,1.2058,1.5494
AcadPressure_High,"Suicidal_Yes, WorkPressure_Low",0.3095,0.754,1.1916,1.4928
AcadPressure_High,Suicidal_Yes,0.3095,0.754,1.1915,1.4926
"AcadPressure_High, WorkPressure_Low",Suicidal_Yes,0.3095,0.754,1.1915,1.4926
"AcadPressure_High, nan",Suicidal_Yes,0.3094,0.754,1.1915,1.4925
AcadPressure_High,"Suicidal_Yes, nan",0.3094,0.7539,1.1914,1.4922
"AcadPressure_High, Gender_Female",Suicidal_Yes,0.1411,0.7535,1.1908,1.4899
"AcadPressure_High, Age_26-30",Suicidal_Yes,0.0897,0.7529,1.1898,1.4862
"AcadPressure_High, CGPA_Mid",Suicidal_Yes,0.1407,0.7479,1.1818,1.4563
"AcadPressure_High, StudyHrs_Moderate",Suicidal_Yes,0.0621,0.7477,1.1816,1.4556
"CGPA_High, StudySat_Low",Depression_Yes,0.1568,0.6863,1.1722,1.3214
"AcadPressure_High, FamilyHistory_No",Suicidal_Yes,0.1527,0.7407,1.1706,1.4163
"AcadPressure_High, Sleep_5-6h",Suicidal_Yes,0.0664,0.7345,1.1608,1.3833
StudySat_Low,Depression_Yes,0.2733,0.6754,1.1536,1.2771
FinStress_High,Suicidal_Yes,0.3262,0.7287,1.1515,1.3533
StudyHrs_High,Depression_Yes,0.3545,0.6668,1.1388,1.2438
Depression_Yes,StudyHrs_High,0.3545,0.6054,1.1388,1.187
"AcadPressure_High, Sleep_>8h",Suicidal_Yes,0.0608,0.7194,1.1368,1.3085
"AcadPressure_High, FinStress_Low",Depression_Yes,0.0842,0.6608,1.1285,1.2219
"AcadPressure_High, StudySat_High",Suicidal_Yes,0.0954,0.7117,1.1246,1.2736
"Age_>30, Suicidal_Yes",Depression_Yes,0.0774,0.6508,1.1115,1.187
Sleep_<5h,Depression_Yes,0.1921,0.6451,1.1018,1.168
